hash,filename,object,score,decision
d38643b171f4cd02d6fca33c67546d6421fd4902a7fd6d10438767bbf89eaefbe03cff6783022cbf97ec47bbf39b0f47c4ed0265bbc6208affafba383096296e,setup.py,<module>,1.0,suspicious
3db88467e48fb588b6b9666befa37af63f225cad050efaa6f2c74502c0613012884d5002a54a5f7eae9eac49e1f72effb95c45be4fee2734e3ac1b0d6015940e,setup.py,<module>,1.0,suspicious
9e7c4fc067eef6ce854011f6e88da8773a5aa567bcadd864747337c722a35e831028476fafd92c387d390e02b08a648bc40bf47cd5d494a27517d8b978f2e323,setup.py,<module>,1.0,suspicious
bbb2cf54296419787338e15d4c8a001efd1d434a17ce7e4879008bfae15868e2d490d2bd79b330b4b3ecf3b3777cb7b683006213f121bab8f7e2dd6d75d96565,__init__.py,<module>,1.0,suspicious
2313463dadfd6aa1a55dae9a55f764e4160fc329c8abb696864c3cc132be59abdeede5f2e2d5c19afb930c97a82bdc4185314a60cd924c701e6c2ef82c889896,setup.py,<module>,1.0,suspicious
bf6f5c860807d78f73fcd1c81a9f0fdbf7718a2c19083b3ebffe21da41be73b04f8360faeeeba72eac7f67e49e48653fc3e7e573cdd08a42b95eedf7f4680e0e,setup.py,<module>,1.0,suspicious
ae9dfda1be20cfefe12a2a90cd985e1878ba2a6ed4035b5cb7054ea4a306283c09e69eb9b0e390803411a7261d155fb3abd33e58d0d3cd4f380c3a40761ba055,setup.py,<module>,1.0,suspicious
8d4d34ce1a4d2955521b4bc7c99e538363f566a671063d5249c30429befa898dcffcc43f01397976192eacffd2279e69e949da1b18440437c9837d047c692217,setup.py,<module>,1.0,suspicious
3602b305743ebf0b8380bfcdc85ab9f59b2bafc9e8e7101d6014e1b168990c2f325fcd8a00f594f51874af364ac816fed34f63d51186e6cb30fd1c6484554494,setup.py,GruppeInstall,1.0,suspicious
6f928b6b7975d1d9993ac75f95022e1bd60a3e37183146b2a8491c5c45bed18f43def55b81a9b0376a7440862549de33bdc48e1ebbbf27c0fedbf76be2422138,setup.py,<module>,1.0,suspicious
653df39cc57b3c25902b5632dc5de4714c276056f3649277513106bfcadc849a8ba3cfd12a1067ef80ad0d118a0e5199601f76d961b02badf1c2168e360b6375,setup.py,<module>,1.0,suspicious
011a694da073fb6739251a2a39e6911d062006b9d9a06d5e8f6786e997d7c16663d50680ffa47811c6109fe25175c18b2cc0f095b817ce9cb19eb54524463753,setup.py,<module>,1.0,suspicious
7096a9ba43fd55fc8ae830253ad2d65cd08be195b2c08619f34da686f51c426f2843eacf7e934cf1d4adfd0f56b1879e16425cc46f06c444dce9456288cb9dfa,setup.py,CustomInstallCommand,1.0,suspicious
